n_neighbors,cell_accuracy,hamming_loss,exact_match_accuracy,mean_target_accuracy,mean_target_precision_macro,mean_target_recall_macro,mean_target_f1_macro,fold_cell_accuracy_mean,fold_cell_accuracy_std,fold_mean_target_f1_macro_mean,fold_mean_target_f1_macro_std,f1_difference_from_best,within_f1_tolerance,selected
5,0.759230588787239,0.24076941121276096,0.0,0.759230588787239,0.6255468286972212,0.5979172802611893,0.6037484915993719,0.7592305887872391,0.004158570449677798,0.6035115497508785,0.010738973709991937,5.206232716703507e-05,True,False
7,0.7654599004352699,0.2345400995647301,0.0,0.76545990043527,0.6276890869921868,0.5987020867129654,0.603800553926539,0.7654599004352699,0.0038242566124563502,0.6039392275883502,0.00935173852531153,0.0,True,False
9,0.7691974874240884,0.23080251257591158,0.0,0.7691974874240884,0.6321551115485462,0.5992074798941388,0.6037689063727922,0.7691974874240884,0.004081311416624668,0.6040621435406965,0.009492690948440657,3.1647553746738666e-05,True,False
11,0.7715484661297469,0.22845153387025308,0.0,0.7715484661297467,0.6339772899174418,0.5992687413615604,0.602989866774314,0.771548466129747,0.004554616204455152,0.6033334984961487,0.009594196657998738,0.000810687152224987,True,True
13,0.7731383741235958,0.2268616258764042,0.0,0.7731383741235958,0.6346441236102295,0.5987098947380195,0.6016372555628459,0.7731383741235958,0.00456534260304509,0.6018801886638466,0.00886138535774163,0.0021632983636931113,False,False
15,0.7742017879948915,0.22579821200510855,0.0,0.7742017879948914,0.6332442119381596,0.5977274389486674,0.6003116099521338,0.7742017879948915,0.005045245060522516,0.6006871661792232,0.009259828469058541,0.0034889439744051343,False,False
