target,accuracy,precision_macro,recall_macro,f1_macro,unique_actual_values
tar_7,0.8817733990147784,0.8705692803437164,0.692814371257485,0.7387521877895604,2
tar_8,0.5645320197044335,0.5588490223745213,0.5570584832352228,0.5562090960170303,2
tar_9,0.8039408866995074,0.5534231820092476,0.5134130575307045,0.4947709916981207,2
tar_10,0.8167487684729065,0.5650630011454754,0.5200542311603209,0.51016563920543,2
tar_11,0.9576354679802955,0.6109296482412061,0.5681201012158242,0.5834645594143977,2
tar_12,0.9527093596059113,0.6948549428326981,0.6172760041194645,0.6448979591836734,2
tar_13,0.9497536945812808,0.6564305080749735,0.5595414367119845,0.5822741908151161,2
tar_14,0.9743842364532019,0.48719211822660097,0.5,0.4935129740518962,2
tar_15,0.6374384236453202,0.632781124497992,0.6296538120671671,0.6300961797467953,2
tar_16,0.7182266009852217,0.620071105365223,0.5896573972832136,0.5955521745914978,2
tar_17,0.7733990147783252,0.6278941322021916,0.5490083754740834,0.5451658405810655,2
tar_18,0.6581280788177339,0.6453535870433713,0.6297596435126189,0.630831330466255,2
tar_19,0.670935960591133,0.6724322438515754,0.6707933093642497,0.6701030727192048,2
tar_20,0.8374384236453202,0.7239926739926741,0.6411718533567273,0.6652113681205659,2
tar_21,0.6630541871921182,0.5660240464344942,0.5371102327624067,0.5237121719372578,2
tar_22,0.5615763546798029,0.5550049020780028,0.5541222559469189,0.5540338131577673,2
tar_23,0.6758620689655173,0.6651529356615493,0.6576808420514214,0.6595768756734605,2
tar_24,0.670935960591133,0.6724322438515754,0.6707933093642497,0.6701030727192048,2
tar_25,0.9763546798029556,0.9873551106427818,0.8666666666666667,0.916673507922174,2
tar_26,0.7911330049261084,0.6761904761904762,0.5670806809940948,0.5710948462814135,2
tar_27,0.6985221674876847,0.6649184149184149,0.6288045847329419,0.633693283138498,2
tar_28,0.6571428571428571,0.6298970643899566,0.6017673418618252,0.6009102166622979,2
tar_29,0.9389162561576355,0.7988274910743265,0.7856468793629454,0.7920466862294129,2
tar_30,0.9221674876847291,0.7875019390868194,0.7430601092896175,0.762766974062207,2
tar_31,0.9389162561576355,0.8089592090305866,0.7895114942528736,0.798827425707125,2
tar_32,0.9359605911330049,0.7865380887768947,0.7705081954356521,0.7782270941110427,2
tar_33,0.7428571428571429,0.6784581847007531,0.6244650023354019,0.6348623954372099,2
tar_34,0.8266009852216749,0.645548188071768,0.5574195308237861,0.5652004595283993,2
tar_35,0.8995073891625616,0.6740114866357412,0.51706675043872,0.5098011363636363,2
tar_36,0.8571428571428571,0.661906955320129,0.5168149636433219,0.49950860535739183,2
tar_37,0.8945812807881773,0.4481737413622902,0.4989010989010989,0.4721788871554862,2
tar_38,0.6630541871921182,0.6069492759485479,0.592574599756659,0.5954195804195804,2
tar_39,0.7822660098522167,0.5466510763326737,0.5093031042234658,0.4797274260174557,2
tar_40,0.7714285714285715,0.5510204081632653,0.5100387783667194,0.4779917712988579,2
tar_41,0.7113300492610838,0.7072152205323512,0.6965624059197287,0.6989286173464171,2
tar_42,0.6068965517241379,0.5868104667609618,0.5755916248790358,0.5729938666995632,2
tar_43,0.8945812807881773,0.4481737413622902,0.4989010989010989,0.4721788871554862,2
tar_44,0.9842364532019704,0.8895734752891693,0.9735002795750459,0.9268547544409613,2
tar_45,0.8492610837438423,0.6476311336717429,0.5338089185795992,0.5312966869788035,2
tar_46,0.6650246305418719,0.6635480747322853,0.6571749755620724,0.6574431421129534,2
tar_47,0.6216748768472906,0.621056721056721,0.621366029975384,0.6210565615083069,2
tar_48,0.9044334975369458,0.8194288213973253,0.7772951315157246,0.796001036001036,2
