unique_actual_values,target_count,mean_accuracy,mean_precision_macro,mean_recall_macro,mean_f1_macro
2,161,0.8018541749533397,0.6810128028009215,0.6448074378415638,0.6504595783148809
3,7,0.8595355383532723,0.4051239568391339,0.34777678082471297,0.34038637426741614
4,12,0.5055008210180624,0.3727686091118622,0.35320800064746277,0.34675299185320463
5,9,0.5157088122605364,0.31883950402576283,0.30831790570006734,0.29970579883768567
