,bitmap_01,bitmap_02,bitmap_03,bitmap_05,bitmap_07,bitmap_08,bitmap_09,bitmap_10,bitmap_11,bitmap_12,bitmap_13,bitmap_14,bitmap_15,bitmap_16,bitmap_17,bitmap_18,bitmap_19,bitmap_20,bitmap_21,bitmap_22,bitmap_23,bitmap_24,bitmap_25
tar_7,0.005416042851959704,0.07691949002633601,0.0016280045725068225,0.009040272944990563,0.021767122144085556,0.022600778334717877,0.005682938577694111,0.0012348970934358914,0.005462401732179832,0.0015217719588051647,0.0012410807498960104,0.00010498280583293856,0.0009855042877425979,0.023661738830151723,0.000538183969318984,0.00070345044334216,0.001580183262465629,0.007138090405846426,0.003177536502479479,0.06396496862096876,0.009018818260894323,0.1132669038199813,0.6233448378043681
tar_8,0.006025649067898294,0.09526143539291931,0.006201984913282805,0.024947346876385102,0.11335019087857667,0.034752973287712825,0.009588756604798005,0.005666128188451763,2.2355764347728118e-05,0.003520385538364771,0.005625210641136727,3.849175055728171e-05,0.0019717666337946715,0.011534934380770764,0.0025659883644175473,0.029655580281916272,0.03434292022515888,8.680144469285467e-05,0.03225340983656899,0.10824076659928605,0.007873850746115017,0.1363702409213363,0.3301028316615114
tar_9,0.07803568594908265,0.24628359638744604,0.05667804592971774,0.03979198819633038,0.0739297554286689,0.046502858251198056,0.011930491092691573,0.014779773588356934,7.738546499625567e-06,7.738546499625567e-06,0.0027692549081877894,0.02278592740441444,0.0017145446405341484,0.01081558383421414,0.0009555747468346364,0.01291782323995327,0.00301652083231715,0.00040937603619221495,4.2765227470063674e-05,0.24308209643108492,0.03448001354857637,0.05152210845889251,0.047540738774836916
tar_10,0.040770465464285865,0.21364627629585134,0.03961740470044144,0.051978430169844825,0.10977096637528576,0.030293392461716376,0.016790867335567086,0.005535202555744066,0.002314837454138204,0.009659402451211928,0.001962743896688632,0.007319696649319921,0.004343488429842765,0.04011123587146685,0.016135727076041845,0.013737112339331916,0.0040208319524590135,0.0011629916686378631,0.013637043315286286,0.16287771941920284,0.04394239984733776,0.15909377827360585,0.011277985996691465
tar_11,0.040285798190181805,0.10172949858286442,0.08108803148250851,0.06172156064331421,0.08352778927237844,0.08407011626585408,0.0034422416029455086,0.005638329710838666,0.000935394501617401,0.02895430145193042,0.00042363418827694237,0.0023918305726863026,0.0029507832038116544,0.04852225909754002,0.0012711352814237346,0.0009941174782495095,0.0003168263018048616,0.0014307487134908282,0.0006400873893212466,0.12245696942900135,0.006131110199692472,0.2737315077939068,0.047345928646360856
tar_12,0.015863030823120444,0.10914207882989656,0.09528767937615794,0.05367058428000497,0.06292477618975476,0.10586175221805899,0.000585821359357407,0.0005327808269092826,0.006315270249118984,0.014542417057843265,5.025714292908023e-06,0.0004279356405453957,0.00148024757543852,0.0377059155819342,0.0017625934186969777,0.00262397094856195,0.0004393130624866857,0.0019839238102427477,0.0029067123768305747,0.10958062087771574,0.0001910124355669499,0.3167636816068122,0.05940285574065247
tar_13,0.024442938430173276,0.1092801623821032,0.06660880376846359,0.05342209909085925,0.07063255900367106,0.09255855472847666,0.004132509365127312,0.0022878183967939927,0.0008813885587120242,0.011444477040954014,4.205544778159228e-06,0.000292314374459421,6.315040518396284e-05,0.03776586541462833,0.0016953939443959294,0.002475117036830088,0.0003847233411067877,0.0017374047919953583,0.010844027013537167,0.130771309780106,0.007445964782443254,0.3165706529107146,0.05425855989448658
tar_14,0.03190555629531282,0.1219698620326982,0.07892627211360063,0.04735202299366374,0.04314057884955765,0.09448914866903976,0.0007052092808143374,0.004414888255609303,0.008369015576052127,0.004698178795553483,9.194292807229596e-05,0.0029312344605933686,0.007601892958137149,0.030802588069358407,0.00684869163002442,0.0005128262758668405,0.0004211922882509878,0.0019020287274432188,0.006210307747708665,0.1318459720703215,8.229105389581462e-06,0.3384798996552063,0.03637246122172527
tar_15,0.05402007571878261,0.3572707613916786,5.675470870931085e-05,0.03625526330223547,0.1633627993345949,0.012143951310774113,0.0372209586396707,0.00014999073952884711,0.001386682504177698,0.0001275047070061075,0.002836573599207656,0.0003403281947197403,0.0010208591543417248,5.116012624465627e-06,0.0030081828122249764,0.015556636592974179,4.3337946768823966e-05,4.411677685305251e-06,0.0005096888419489395,0.19109695492631565,0.02690593896694081,0.011237389062557605,0.08543983985453166
tar_16,0.05189881859783398,0.2624416768241396,0.09280331441825605,0.006115427522618341,0.10119861227103591,0.019128020186956467,0.03883708559495014,0.003457436164163646,0.0010593805822648413,0.0078073605123346514,0.0005882924778375861,0.006158248967207264,0.0006967042006320915,0.007372757157571309,0.003719388236341133,0.012585200141317646,0.0017689727866540058,0.005137260516624141,0.004764340537599474,0.13401878465769748,0.010376880491064226,0.1334372553861061,0.09462878176879393
